   Extension        Count     Max size   Total size
                     2330            6     16078884
         .js           20         1502      2840539
      .terms            2         2267         4534
         .nc            3         1424         3432
        .f90           18          618         8416
      .cmake          780         1085      3196461
     .sample           78         3610       134157
       .mask            1          969          969
        .pyd          238        17920    135607296
        .pfx            1         2560         2560
        .tcl          252         1920      1927337
       .tmpl            2          138          356
      .bruno            4       845361      2680083
        .npy           55      2534528   3361808941
         .md           22           30        37314
       .fish            1         2438         2438
         .m4            1         1513         1513
        .xml           48          227      9887645
       .yaml            2           73          446
        .xrc            1         2186         2186
        .ps1            1         1498         1498
        .msg          145         3832       192130
     .ctypes            1          296          296
       .icns            1        57435        57435
        .csh            1         1276         1276
        .pxd            9         5759       242198
        .lib           10        34156      2252006
        .pem            2       263074       538908
        .pkl            1          716          716
        .cpp            3           49          389
    .targets            1         3197         3197
        .cfg            2          160         2777
        .def            4         3128        18856
          .1            5        51185       103976
        .ttf           38        15704      6913276
         .zi            1       106812       106812
        .tab            3        17810        41421
        .ppm            4       196623       207030
         .tm            5        42751       193056
        .npz           21       179327      1924735
       .pack            3        50586      3594073
        .svg           16         1684       213326
      .ipynb           12        17912      1395248
        .zip            2         8729       448536
     .pickle            3        15218        49563
        .xpm           24         2356        26803
        .pdf           13       275887       764030
        .qch            1      4485120      4485120
        .dll          140       370176    146275463
   .vsmacros            2        63488       151552
          .c           20         2305        54394
         .fs            8          755         4611
        .edn            1         2900         2900
        .iml            8          291         3480
        .eps            2        27809        60709
        .sav           47         1015       211903
         .el            1        15018        15018
        .cxx            6           58          502
        .ico            4         1150       175145
        .csc            8        14566       151610
.data-00000-of-00001            2       326098       923252
         .cs            8         1452         9892
        .pyc         3633         1121     49671435
        .yml            4          591         2778
        .tpl            1         2045         2045
       .meta            2       157062       364457
       .fits            1         8640         8640
      .index            2         1691         3386
        .pth            1          570          570
        .png          164         8655      3312891
        .xbm           50          272        24793
       .json           25          477      1693301
         .sh            9          670        13967
         .gz           59         2342       896069
        .log            1        60410        60410
        .bat            6          368         2519
        .csv           32          259       317629
        .mat          108        20225        68909
        .vim            2        79205        81978
        .css           13         2112        94504
         .in           82          874       269623
        .tex            1        37261        37261
   .egg-info            2         5788         8618
        .clj           65          715        76495
          .h          129       556453      1421171
        .afm           60         9527      1353784
        .exe           36        40960     48166965
         .py         3685         4794     60581833
       .html         1516         3496     14544540
        .idx            3         6112        23348
        .txt         1669        32193     10122529
        .ini            3          119          650
        .rar            1       388506       388506
        .wav            7         1644        35365
       .arff           11          429        10184
        .pdb            3       421888      9867264
         .cu            1          313          313
          .d            1          863          863
        .jpg            3       142987       400946
       .lock            1            0            0
       .conf            1          988          988
   .mplstyle           26        25458        63239
      .cover            1        34602        34602
          .m            5          200         4346
        .pyw            2          181          751
        .dat           31         2591      4084173
          .7           17       116039      1831230
        .enc           78         1091      1413730
        .inv            1        41833        41833
      .plist            1         1198         1198
        .rst         1525         3478      1567194
        .fsc            6         2184        10623
        .whl            2       569436      1877075
          .f           12         6668         8779
        .tag            1          194          194
        .gif           54      8402517      8532086
